ticker,publishedAt,title,description,content,source
THYAO.IS,2026-05-23 08:22:18,"Indian Golfers At Soudal Open: Sandhu Advances, Sharma Falters","Yuvraj Sandhu made the cut at the Soudal Open, while Shubhankar Sharma missed out. South Africa's Zander Lombard and France's Tom Vaillant share the lead.","Yuvraj Sandhu advances to the weekend at the Soudal Open, while Shubhankar Sharma faces an early exit, as Zander Lombard and Tom Vaillant lead the tournament in Belgium.
Photograph: Matthew Childs/R… [+2485 chars]",NewsAPI
THYAO.IS,2026-05-22 20:22:43,"Grab rare deals on high-end outdoor gear from Huckberry: Filson, Flint and Tinder, Marine Layer, and more","These luxurious outdoor products don't go on sale often, so stock up now and get ready for summer weddings, road trips, or anything else that requires you to change out of sweats.
The post Grab rare deals on high-end outdoor gear from Huckberry: Filson, Flint…","We may earn revenue from the products available on this page and participate in affiliate programs. Learn more 
Huckberry kicked off its Memorial Day Weekend Sale with up to 20 percent off a deep cr… [+5809 chars]",NewsAPI
THYAO.IS,2026-05-22 18:03:00,‘Entry Into the Kyrgyz Republic Is Closed’: US Professor Denied Entry to Kyrgyzstan,"Steve Swerdlow, a well-known Central Asia researcher and a USC professor, was leading a group of 16 students to Kyrgyzstan when he was denied entry and deported.","Its a trip Steve Swerdlow has made many times: flying from Los Angeles, California to Istanbul, Turkiye and onward to Bishkek, Kyrgyzstan. Kyrgyzstan is a country Swerdlow knows well and loves deeply… [+8973 chars]",NewsAPI
THYAO.IS,2026-05-22 13:00:56,"A review of Turkish Airlines A350-900 business class: Standout dining, uneven execution","A review of Turkish Airlines A350-900 business class from Istanbul to Johannesburg, with standout dining, solid lie-flat seats and some inconsistencies.","After completing Turkish Airlines' six continents challenge last year, I've been looking for ways to redeem my 1 million Miles&amp;Smiles miles on long-haul business-class flights at promotional rate… [+11463 chars]",NewsAPI
TUPRS.IS,2026-05-22 12:07:02,"Prince William's private 'inner circle': How heir to the throne leans on lifelong pals including fellow Aston Villa fan Edward van Cutsem, 'court jester' Guy Pelly and 'Zipper lips' Oliver Baker","This band of brothers - many of whom he has known since childhood - form the Prince of Wales's less public, but possibly equally as important, 'inner circle'.","The Prince of Wales is often surrounded by other devoted members of his family - be it his wife Kate, father Charles, or one of the other trusted royals within The Firm.
But this week, fans got to s… [+16812 chars]",NewsAPI
TUPRS.IS,2026-05-22 11:11:58,'Unreal' moment Aston Villa podcasters meet Prince William,"Podcasters Dan Rolinson and Mat Kendrick were ""summoned"" by the prince after the game on Wednesday.","The Prince of Wales revealed to the hosts of an Aston Villa fan podcast that he had watched their shows as they were among fans celebrating the team's Europa League victory in Istanbul.
The prince, … [+1877 chars]",NewsAPI
THYAO.IS,2026-05-22 08:11:09,"Review: The Phoenix Lounge, Dublin (DUB) – The Most Overhyped New Lounge?",A review of Dublin's new but way-overhyped Phoenix Lounge - the only time I've seen a line out the door at 4:05 AM for a contractor lounge.,"<table><tr><td>THE ALVIATOR'S VERDICTDublin Airport's brand-new Phoenix lounge is on the better end of contract lounges, though really doesn't live up to the hype it's received
</td><td></td></tr><t… [+12602 chars]",NewsAPI
THYAO.IS,2026-05-22 05:30:00,Irish activist recounts moment from Israeli minister's video,An Irish activist who featured in footage posted online by the Israeli National Security Minister has spoken out about her treatment and what she witnessed while in Israeli detention.,"An Irish activist who featured in footage posted online by the Israeli National Security Minister has spoken out about her treatment and what she witnessed while in Israeli detention.
Cat Graham was… [+4139 chars]",NewsAPI
THYAO.IS,2026-05-21 17:31:47,Gaza flotilla activists to be deported as governments voice outrage over taunting by Israeli minister,"The activists' treatment by police officers under the direction of National Security Minister Itamar Ben-Gvir also drew a rebuke from Israeli Prime Minister Benjamin ‌Netanyahu and from the United States, Israel's staunchest ally.","JERUSALEM, May 21 (Reuters) – Western governments voiced outrage on Thursday after Israels far-right security minister posted a video of himself taunting Gaza-bound flotilla activists being pinned to… [+7805 chars]",NewsAPI
TUPRS.IS,2026-05-21 14:56:48,Prince William reflects on 'slightly surreal' Aston Villa Europa League win in Istanbul,"Prince William opened up about watching Aston Villa claim the UEFA Europa League trophy in Istanbul, describing the historic moment as 'unbelievable' and 'slightly surreal'","Prince William confessed he found the whole experience ""slightly surreal"" after watching his beloved Aston Villa finally end their lengthy trophy drought.
The Prince of Wales has long been a devoted… [+2810 chars]",NewsAPI
THYAO.IS,2026-05-21 14:00:00,Medicana Strengthens Its International Sports Presence Through Expanded Healthcare Partnership with Fenerbahçe,Medicana Health Group has expanded its healthcare partnership with Fenerbahçe Sports Club as part of its wider commitment to supporting sports in Türkiye....,"Photo: Medicana Hospital Press Conference via FL Comms
ISTANBUL, May 21, 2026 (GLOBE NEWSWIRE) -- Medicana Health Group
, one of Türkiyes leading healthcare groups, continues to strengthen its role… [+6052 chars]",NewsAPI
THYAO.IS,2026-05-21 13:00:01,Rove Miles Is Paying Bonuses On First Hotel Bookings — And Up To 15x On Shopping,"Rove Miles is running a short-term promo that makes the program more interesting for both hotel bookings and shopping portal spend: bonus miles on first-time hotel reservations, up to 15x at select merchants, and transferable points that can move to partners …","Rove Miles is offering bonus miles on first-time hotel bookings and increased earning on shopping portal purchases through May 31, 2026.
First-time hotel bookings earn:
<ul><li>Earn 1,000 miles wit… [+1890 chars]",NewsAPI
TUPRS.IS,2026-05-21 11:25:39,Prince William was in Istanbul to see Aston Villa win their first title in 30 years,"Given how Prince William apparently has a huge temper and he’s constantly throwing “great bellowing tantrums,” I often wonder how William’s staff approaches him about changing some part of his image or behavior. Clearly, “the heir is an air-punching football …","Given how Prince William apparently has a huge temper and hes constantly throwing great bellowing tantrums, I often wonder how Williams staff approaches him about changing some part of his image or b… [+5407 chars]",NewsAPI
THYAO.IS,2026-05-21 09:43:18,JetBlue Rerouted a Quadriplegic Passenger Leaving Him With an Excruciating Stage III Pressure Ulcer,"JetBlue has been accused of negligently rerouting a quadriplegic passenger on an international itinerary, leaving him in agonizing pain from a Stage III pressure ulcer that developed after he was forced to sit for many more hours than he had ever planned. Zor…","JetBlue has been accused of negligently rerouting a quadriplegic passenger on an international itinerary, leaving him in agonizing pain from a Stage III pressure ulcer that developed after he was for… [+2818 chars]",NewsAPI
THYAO.IS,2026-05-21 00:37:03,Turkish Airlines planes to fly flotilla participants out of Israel,Several Turkish Airlines aircraft will land at Ramon Airport in the coming hours to deport the participants of the pro-Palestinian Arab flotilla who were brought to Israel.,Several Turkish Airlines aircraft will land at Ramon Airport in the coming hours to deport the participants of the pro-Palestinian Arab flotilla who were brought to Israel.,NewsAPI
TUPRS.IS,2026-05-20 22:46:19,What Aston Villa's Europa League triumph means in the race for European football - and how Bournemouth or Brighton can STILL qualify for next season's Champions League,"By dismantling Freiburg 3-0 in Istanbul on Wednesday night, Villa have potentially opened the door to the possibility of a sixth Premier League side qualifying for the Champions League.","Aston Villa fans will not be the only ones celebrating the Villans' triumph in the Europa League final; there will be others on the south coast who will be smiling ear to ear for different reasons.
… [+3117 chars]",NewsAPI
TUPRS.IS,2026-05-20 22:34:27,John McGinn jokes he hopes Prince William 'will have a couple of drinks and get his credit card out' to pay for Aston Villa's Europa League party celebrations - as triumphant captain hails royal's support for the team,Prince William shared some final words of support before kick-off in the dressing room and McGinn was left hoping His Royal Highness would put his hand in his pocket to get the party started.,"The Prince of Wales hailed Aston Villa ending their 44-year wait for a European title as an amazing night, as Villa captain John McGinn called on the royal to get the drinks in to celebrate.
Goals f… [+3507 chars]",NewsAPI
TUPRS.IS,2026-05-20 20:52:01,"Unai Emery's box of tricks that won the Europa League for Aston Villa: Sleep, fire, an 'inferiority complex', the shift that unlocked John McGinn and one final message that got his players over the line","Unai Emery gathered his players in a circle and stood on the centre spot. As they prepared for their final training session at Tupras Stadium in the Istanbul sunshine, he had to know they were ready.",Unai Emery gathered his Aston Villa players in a circle around him and stood on the centre spot. As they prepared for their final training session at Tupras Stadium in the early-evening Istanbul suns… [+10552 chars],NewsAPI
SISE.IS,2026-05-20 20:15:00,Natural Resource Partners L.P. Announces 2025 Schedule K-3 Now Available,"Natural Resource Partners L.P. Announces 2025 Schedule K-3 Now Available 
...","HOUSTON, May 20, 2026 (GLOBE NEWSWIRE) -- Natural Resource Partners L.P. (NYSE: NRP) announced today that its 2025 Schedule K-3 reflecting items of international tax relevance is available online. Un… [+1420 chars]",NewsAPI
TUPRS.IS,2026-05-20 19:02:50,Freiburg vs Aston Villa LIVE updates: Minute-by-minute coverage of the 2025-26 Europa League final,"Minute by minute of the UEFA Europa League final Freiburg vs Aston Villa. A new champion is about to be decided as Aston Villa and Freiburg meet in the 2025-26 UEFA Europa League final. It would be historic for both, since it would be the first time either cl…","A new champion is about to be decided as Aston Villa and Freiburg meet in the 2025-26 UEFA Europa League final. It would be historic for both, since it would be the first time either club wins the tr… [+1171 chars]",NewsAPI
THYAO.IS,2026-05-20 17:44:32,What NOT to Do in Uzbekistan,"Uzbekistan is a fascinating country, filled with Silk Road history, stunning turquoise mosaics, and some of the best souvenir shopping I’ve ever experienced. I enjoyed my solo trip to Uzbekistan, which I paired with time in Kazakhstan and Tajikistan. This was…","Adventurous Kate contains affiliate links. If you make a purchase through these links, I will earn a commission at no extra cost to you. Thanks!
Uzbekistan is a fascinating country, filled with Silk… [+28884 chars]",NewsAPI
TUPRS.IS,2026-05-20 17:34:59,"Freiburg vs Aston Villa - Europa League final LIVE: Latest score, team news and updates as Villans chase first piece of silverware in 30 years","Follow Daily Mail Sport's live blog for the latest score, team news and updates as Aston Villa take on Freiburg in the Europa League final at Tupras Stadium in Turkey.","Right, we have to talk about it again, but properly this time.
I said it before and I'll say it again: 1982 will go down as the greatest year in Aston Villa's history. Why? Because that was the year… [+775 chars]",NewsAPI
THYAO.IS,2026-05-20 16:45:33,The Turkish Airlines credit card has new(ish) benefits including lounge access & ability to spend towards status,"A couple of years ago, Turkish Airlines launched the Turkish Airlines Miles&Smiles Premier Visa Signature® credit card. It was a mediocre card as its welcome offer wasn’t very generous and it came with little in the way of cardholder perks, especially conside…","A couple of years ago, Turkish Airlines launched the Turkish Airlines Miles&amp;Smiles Premier Visa Signature® credit card. It was a mediocre card as its welcome offer wasn’t very generous and it cam… [+4837 chars]",NewsAPI
THYAO.IS,2026-05-20 14:35:00,"Airlines Market Outlook Report 2025-2034: Growth Analysis By Type Of Transport (Domestic, International), By Size (Narrow Body, Wide Body, Regional And Business Jet, Freighter)","The airlines market offers opportunities in digital transformation, sustainable aviation, and data-driven optimization. Demand is driven by globalization and tourism, with a focus on personalized experiences and sustainable practices. Innovations in autonomy,…","Dublin, May 20, 2026 (GLOBE NEWSWIRE) -- The ""Airlines Market Outlook 2025-2034: Market Share, and Growth Analysis By Type Of Transport (Domestic, International), By Size (Narrow Body, Wide Body, Reg… [+5283 chars]",NewsAPI
TUPRS.IS,2026-05-20 12:47:24,Unai Emery chases his fifth Europa League title as Aston Villa face Freiburg,"While Aston Villa target a historic celebration, Freiburg fight for their first major trophy and a Champions League berth","It's Europa League final day in Istanbul as Mr. Europa League himself, Unai Emery, leads Aston Villa to face German side Freiburg, who chase the first major trophy in club history. It's quite a clash… [+2534 chars]",NewsAPI
TUPRS.IS,2026-05-20 09:06:00,Find out everything you need to know ahead of City's final Premier League clash of the 2025/26 season.,WHEN AND WHEREWe face Aston Villa in our final clash of the 2025/26 Premier League season on Sunday 24 May with the game scheduled for kick-off at 16:00 (UK) at the Etihad Stadium.The game will not be...,"We face Aston Villa in our final clash of the 2025/26 Premier League season on Sunday 24 May with the game scheduled for kick-off at 16:00 (UK) at the Etihad Stadium.
The game will not be shown live… [+3899 chars]",NewsAPI
TCELL.IS,2026-05-19 17:19:00,61 Organizations Win Prestigious ATD BEST Award,"The BEST Awards recognize organizations that use talent development as a strategic business tool to get results. ALEXANDRIA, Va., May 19, 2026 /PRNewswire/ -- The Association for Talent Development (ATD) honored 61 organizations from around the globe with 202…","The BEST Awards recognize organizations that use talent development as a strategic business tool to get results.
ALEXANDRIA, Va., May 19, 2026 /PRNewswire/ -- The Association for Talent Development … [+4171 chars]",NewsAPI
THYAO.IS,2026-05-19 13:24:00,"“Red Maria,” Alexis’s dusks & SYRIZA’s money, the blue (permanent) secretary, PPC’s success story & the Holy Women’s Hermitage","The secret of the Hindenburg Indicator & the big business behind a visit
The post “Red Maria,” Alexis’s dusks & SYRIZA’s money, the blue (permanent) secretary, PPC’s success story & the Holy Women’s Hermitage appeared first on ProtoThema English.","Hello, as I told you yesterday, we are entering a very interesting week, beginning with President Maria, who has already made her move and whom my malicious colleagues have started calling Red Maria … [+25698 chars]",NewsAPI
THYAO.IS,2026-05-19 12:00:00,Economic Fury Targets Networks Generating Billions for Iran's Terrorist Regime,"Today, as a part of Economic Fury, the U.S. Department of the Treasury's Office of Foreign Assets Control (OFAC) designated a prominent Iranian foreign currency exchange house and associated front companies that oversee hundreds of millions of dollars in tran…","U.S. Department of the Treasury
May 19, 2026 
Action Targets More than 50 Companies, Individuals, and Vessels Generating Revenue for the Regime
WASHINGTON -- Today, as a part of Economic Fury, the… [+14911 chars]",NewsAPI
TUPRS.IS,2026-05-19 10:52:10,"How to watch Freiburg vs Aston Villa live: Stream, TV channel, team news, prediction for Europa League final",Can Aston Villa win the Europa League to cap off a brilliant season?,"Aston Villa head to Istanbul to face SC Freiburg in the UEFA Europa League final on Wednesday, with Villa aiming to win just the second major European trophy in their history and their first trophy o… [+2509 chars]",NewsAPI
ASELS.IS,2026-05-19 05:33:00,The Indonesian Air Force’s Turkish Turn,Jakarta has recently signed onto several major Turkish aerospace industry programs with significant implications for the future of its airpower and domestic defense industry.,"On May 6, Indonesia signed a framework contract with the Turkish company Baykar for the delivery of an initial 12 Bayraktar Kzlelma high-performance uncrewed combat aerial vehicles (UCAVs) and the es… [+22006 chars]",NewsAPI
KCHOL.IS,2026-05-18 13:55:19,Macroeconomics of Tariffs with Global Production and Finance Networks,A new model that incorporates more real world factors than standard approaches finds that tariffs can do more damage than previously thought.,Yves here. The authors below have developed a model for the impact of tariffs that goes beyond widely-used and arguable simplistic approaches. Their integration of production networks and other facto… [+13749 chars],NewsAPI
THYAO.IS,2026-05-18 13:38:48,THY to resume Dubai flights next month,"Turkish Airlines (THY) will resume direct flights between Istanbul and Dubai, the capital of the United Arab Emirates, starting June 9.","ISTANBUL
Turkish Airlines (THY) will resume direct flights between Istanbul and Dubai, the capital of the United Arab Emirates, starting June 9.
Flights to Dubai were suspended after several Middle… [+1541 chars]",NewsAPI
ASELS.IS,2026-05-18 11:15:00,Inertial Navigation Systems Market Research and Global Forecast Report 2026-2030: Opportunities in Integration with Leo Satellite Constellations and Hybrid Navigation Architectures,"The inertial navigation systems market, valued at USD 9.42 billion in 2026, is projected to reach USD 11.92 billion by 2030, growing at a CAGR of 6.1%. This growth is driven by heightened demand for precise navigation in defense and commercial sectors, especi…","Dublin, May 18, 2026 (GLOBE NEWSWIRE) -- The ""Inertial Navigation Systems Market by Application, Grade, Technology, Solution, Region - Global Forecast to 2030"" has been added to ResearchAndMarkets.co… [+6090 chars]",NewsAPI
EREGL.IS,2026-05-18 09:03:00,"Iron & Steel Global Market Research Report 2026-2031: Trends, Challenges, Regional Distribution, Competitive Strategies and Shares","Dublin, May 18, 2026 (GLOBE NEWSWIRE) -- The ""Iron & Steel Market by Type, Iron Production Technology, Steel Production Technology, End-use Industry, and Region - Global Forecast to 2031"" has been added to ResearchAndMarkets.com's offering.","Dublin, May 18, 2026 (GLOBE NEWSWIRE) -- The ""Iron &amp; Steel Market by Type, Iron Production Technology, Steel Production Technology, End-use Industry, and Region - Global Forecast to 2031"" has bee… [+6304 chars]",NewsAPI
THYAO.IS,2026-05-17 08:10:22,Imam Khomeini International Airport Operating with Limited Flights After April Reopening,"Imam Khomeini International Airport resumes operations after a two-month suspension due to regional conflict, gradually restoring international and domestic flights with enhanced safety measures.","TEHRAN — Imam Khomeini International Airport (IKIA), Iran's primary international gateway, is open and handling passenger flights today, May 17, 2026, following its gradual resumption of operations o… [+5644 chars]",NewsAPI
THYAO.IS,2026-05-16 20:20:16,"WEEKLY REVIEW: Sunday 17 May, 2026","Greetings from Adelaide. I’m here for one of my regular catch-ups with family. You will be pleased to know that after more than 10 days, the jet-lag-induced brain fog I have been suffering from seems to have abated. My cold also seems to be receding. So, I ho…","Greetings from Adelaide. I’m here for one of my regular catch-ups with family.
You will be pleased to know that after more than 10 days, the jet-lag-induced brain fog I have been suffering from seem… [+3719 chars]",NewsAPI
FROTO.IS,2026-05-16 12:30:03,5.0 Liter V8 Sleeper! A Modified 1975 Ford Transit Van,"This is a 1975 Ford Transit Mk1 that benefits from a series of major upgrades, the most notable of which is the 5.0 liter...
The post 5.0 Liter V8 Sleeper! A Modified 1975 Ford Transit Van appeared first on Silodrome.","This is a 1975 Ford Transit Mk1 that benefits from a series of major upgrades, the most notable of which is the 5.0 liter V8 that now sits under the hood.
This Transit Mk1 sleeper was built at a cos… [+9684 chars]",NewsAPI
ASELS.IS,2026-05-16 07:44:51,Türkiye now defense ecosystem for partners: Görgün,"Türkiye is no longer followed only for its defense products but has become an ecosystem that international partners want to work with and co-produce in, Defense Industries President Haluk Görgün has said.","ANKARA
Türkiye is no longer followed only for its defense products but has become an ecosystem that international partners want to work with and co-produce in, Defense Industries President Haluk Gör… [+3417 chars]",NewsAPI
ISCTR.IS,2026-05-16 05:42:49,Turkey’s Kontrolmatik Defaults on 450 Million Liras Debt,"Turkey’s Kontrolmatik Enerji ve Muhendislik defaulted on two separate lira bonds that matured on Friday, according to a statement by Turkey’s Central Securities Depository, marking a rare corporate debt default in the country’s local bond market.","(Bloomberg) Turkeys Kontrolmatik Enerji ve Muhendislik defaulted on two separate lira bonds that matured on Friday, according to a statement by Turkeys Central Securities Depository, marking a rare c… [+3918 chars]",NewsAPI
THYAO.IS,2026-05-15 16:50:26,"US Will Replenish Every Barrel of Oil It Releases from Strategic Petroleum Reserve, Energy Secretary Says","The US will replenish every barrel of oil it releases from the Strategic Petroleum Reserve, Energy Secretary Chris Wright ‌said Friday ‌at an event in Sabine ‌Pass, ⁠Texas. ""We're releasing oil ⁠now, and for each barrel we're releasing, we're going to get at …","Egypt and Türkiye are strengthening their cooperation and strategic partnership by boosting air traffic and tourism as the two countries mark 75 years since the first flight between them. 
Egyptian … [+4684 chars]",NewsAPI
THYAO.IS,2026-05-15 15:41:37,Xi-Trump Summit Disappoints as Oil Bulls Regain Momentum,"Oil prices surged $7 this week as Iran tensions, Hormuz risks, and weak signals from the Xi-Trump summit overshadow bearish OPEC and IEA demand forecasts. Friday, May 15, 2026 In a week that started off with both OPEC and the IEA slashing their demand forecas…","The Strait of Hormuz is…
Brent crude nears $110 as…
Greg Abels first Berkshire Hathaway…
Set us as your preferred Google source
By Tom Kool - May 15, 2026, 10:41 AM CDTOil prices surged $7 this w… [+5509 chars]",NewsAPI
DOHOL.IS,2026-05-15 09:45:00,2026 Broadcasting & Cable TV Global Industry Almanac for 2020-2029,"The broadcasting & cable TV market presents opportunities primarily in TV advertising, the largest segment comprising 44.9% of revenues. Growth is driven by increased TV households, although exchange rate impacts may influence market value trends in specific …","Dublin, May 15, 2026 (GLOBE NEWSWIRE) -- The ""Broadcasting &amp; Cable TV Global Industry Almanac 2020-2029"" report has been added to ResearchAndMarkets.com's offering.
Global Broadcasting &amp; Cab… [+6137 chars]",NewsAPI
THYAO.IS,2026-05-14 18:19:34,Star Alliance Celebrates 29 Years as the World’s Largest Airline Alliance,"Star Alliance is marking its 29th anniversary today, nearly three decades after becoming the…",6Advertiser &amp; Editorial Disclosure: The Bulkhead Seat earns an affiliate commission for anyone approved through the links below. This compensation may impact how and where links appear on this si… [+3582 chars],NewsAPI
THYAO.IS,2026-05-14 16:20:38,PGA Championship: The Fitzpatrick brothers are having a moment at Aronimink,"As storylines go for a major held in the City of Brotherly Love, it’s tough to beat the spring Matt and Alex Fitzpatrick have had.","NEWTOWN SQUARE, Pa. Its a rough challenge, starting a major championship in the opening pairing with a tee time of 6:45 a.m., but Alex Fitzpatrick is just fine with it. Hes in the field, after all, a… [+6797 chars]",NewsAPI
THYAO.IS,2026-05-14 12:26:04,"ALL Accor Live Limitless: Earn 1,000 bonus points for linking with Qatar Airways and completing a stay (May 14 Bonus Offer Highlight)","Today's bonus offer highlight is the return of a 1,000 bonus points incentive to link your ALL Accor account to Qatar Airways Privilege Club and then complete an Accor stay! Check out all of the new bonuses added today:","Today’s bonus offer highlight is the return of a 1,000 bonus points incentive to link your ALL Accor account to Qatar Airways Privilege Club and then complete an Accor stay! Check out all of the new … [+3500 chars]",NewsAPI
THYAO.IS,2026-05-14 09:59:33,"War, drones, and the energy reckoning: How the Iran war is reshaping tech investment",The Iran war is turning autonomous systems and energy resilience into key investment themes.,"The Iran war has driven up fuel and freight costs, exposed vulnerabilities in critical supply chains, and forced investors to rethink which technologies matter most in a more volatile world.
Two the… [+6005 chars]",NewsAPI
YKBNK.IS,2026-05-14 08:29:00,IT orgs face tricky cost calculus for self-hosted AI inference,"Red Hat's twofold strategy to lower AI inference costs -- self-managed hybrid infrastructure and open-weight models -- has potential, experts say, but must be proven in practice.","ATLANTA -- Red Hat AI updates this week aimed to ease the transition from token consumer to token producer for enterprises, but whether self-hosted AI inference will yield long-term cost advantages o… [+10128 chars]",NewsAPI
THYAO.IS,2026-05-13 15:40:08,Expensive jet fuel is reshaping the global aviation map: Route cuts and rising ticket prices,"Travelers are paying a high price for the war in Iran – Jet fuel prices surge to $150–200 – Reduction of 2 million airline seats worldwide – Lufthansa cut 20,000 flights and is shutting down CityLine – Low-cost carriers are taking the hardest hit
The post Exp…","Until last February, the price of aviation fuel fluctuated between $8590 per barrel. After the outbreak of the war in Iran, prices more than doubled, reaching the astronomical level of $150200 per ba… [+13170 chars]",NewsAPI
THYAO.IS,2026-05-13 14:52:19,UPDATE: Air France & KLM Flying Blue Status Match Includes UK Again,"Air France and KLM’s Flying Blue has made additional changes to its paid status match, which again includes members in the UK who were briefly dropped. Flying Blue has also updated which airlines and tiers it matches, and here is a fee involved with this matc…","Air France and KLMs Flying Blue has made additional changes to its paid status match, which again includes members in the UK who were briefly dropped.Flying Blue has also updated which airlines and t… [+11926 chars]",NewsAPI
THYAO.IS,2026-05-13 14:18:00,Deucalion Aviation Arranges Acquisition of Two Airbus A330-300 Aircraft on Lease to Turkish Airlines,"LONDON and NEW YORK and DUBLIN, May 13, 2026 /PRNewswire/ -- Deucalion Aviation, a global aviation investment and asset management platform, today announced the addition of two Airbus A330-300 aircraft to its managed portfolio, both on lease to Turkish Airlin…","LONDON and NEW YORK and DUBLIN, May 13, 2026 /PRNewswire/ -- Deucalion Aviation, a global aviation investment and asset management platform, today announced the addition of two Airbus A330-300 aircra… [+2295 chars]",NewsAPI
